,ctoi_alias,st_tmag,st_tmagerr1,st_tmagerr2,st_tmagsymerr,st_tmaglim,ra,st_pmra,st_pmraerr1,st_pmraerr2,st_pmrasymerr,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdecsymerr,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidsymerr,pl_tranmidlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhsymerr,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandepsymerr,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radesymerr,pl_radelim,st_dist,st_disterr1,st_disterr2,st_distsymerr,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_teffsymerr,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_loggsymerr,st_logglim,st_rad,st_raderr1,st_raderr2,st_radsymerr,st_radlim
354,358631536.01,10.0062,0.006,-0.006,1.0,0.0,317.575459,3.666,0.28,-0.28,1.0,0.0,-1.221,0.135,-0.135,1.0,0.0,2460552.940939,0.003334,-0.003334,1.0,0.0,4.837,0.875,-0.875,1.0,0.0,935.0,113.812,-113.812,1.0,0.0,5.34279,0.707446,-0.707446,1.0,0.0,400.034,10.639,-10.639,1.0,0.0,9622.0,756.2,-756.2,1.0,0.0,4.39,0.15,-0.15,1.0,0.0,1.65,0.19,-0.19,1.0,0.0
355,1400770435.01,8.88797,0.006,-0.006,1.0,0.0,264.961539,-4.979,0.038,-0.038,1.0,0.0,13.371,0.041,-0.041,1.0,0.0,2460637.867682,0.004672,-0.004672,1.0,0.0,2.73,0.405,-0.405,1.0,0.0,5046.0,5630.34,-5630.34,1.0,0.0,25.7481,2.59452,-2.59452,1.0,0.0,121.182,0.27,-0.27,1.0,0.0,5941.5,161.9,-161.9,1.0,0.0,4.23,0.08,-0.08,1.0,0.0,1.4,0.01,-0.01,1.0,0.0
361,229770036.01,10.6666,0.006,-0.006,1.0,0.0,282.173361,-63.053,0.074,-0.074,1.0,0.0,114.601,0.093,-0.093,1.0,0.0,2458684.50173,0.00575,-0.00575,1.0,0.0,2.029,0.369,-0.369,1.0,0.0,355.8315803,34.70787,-34.70787,1.0,0.0,1.83828,0.167472,-0.167472,1.0,0.0,101.713,0.5015,-0.5015,1.0,0.0,4567.0,143.3,-143.3,1.0,0.0,4.39,0.1,-0.1,1.0,0.0,0.84,0.05,-0.05,1.0,0.0
367,279177746.01,10.1503,0.075,-0.075,1.0,0.0,313.885156,-0.511,0.062,-0.062,1.0,0.0,3.17,0.055,-0.055,1.0,0.0,2460551.553803,0.001373,-0.001373,1.0,0.0,2.252,0.381,-0.381,1.0,0.0,2085.0,307.043,-307.043,1.0,0.0,9.91393,1.00166,-1.00166,1.0,0.0,464.209,8.1325,-8.1325,1.0,0.0,9706.0,667.9,-667.9,1.0,0.0,4.29,0.12,-0.12,1.0,0.0,1.87,0.14,-0.14,1.0,0.0
368,199688472.01,9.84566,0.006,-0.006,1.0,0.0,253.14033,3.224,0.246,-0.246,1.0,0.0,33.814,0.301,-0.301,1.0,0.0,2460351.142333,0.001809,-0.001809,1.0,0.0,1.666,0.134,-0.134,1.0,0.0,12927.0,423.876,-423.876,1.0,0.0,17.0442,0.982769,-0.982769,1.0,0.0,190.403,4.476,-4.476,1.0,0.0,5672.9,168.9,-168.9,1.0,0.0,4.13,0.08,-0.08,1.0,0.0,1.46,0.08,-0.08,1.0,0.0
373,229536616.01,10.9873,0.014,-0.014,1.0,0.0,195.821133,-13.9,1.9,-1.9,1.0,0.0,5.9,2.1,-2.1,1.0,0.0,2458686.93866,0.0005,-0.0005,1.0,0.0,3.667,0.052,-0.052,1.0,0.0,9724.58,0.581995,-0.581995,1.0,0.0,14.8838,0.820598,-0.820598,1.0,0.0,283.32,4.92,-4.92,1.0,0.0,6292.0,134.35000000000002,-134.35000000000002,1.0,0.0,4.22041,0.09,-0.09,1.0,0.0,1.37,0.07,-0.07,1.0,0.0
375,258777134.01,10.451,0.0,0.0,1.0,0.0,286.74788,-1.949,0.054,-0.054,1.0,0.0,-2.482,0.053,-0.053,1.0,0.0,2459599.130762,0.000559,-0.000559,1.0,0.0,3.719,0.398,-0.398,1.0,0.0,16410.0,212.131,-212.131,1.0,0.0,9.8672,0.820598,-0.820598,1.0,0.0,375.012,4.92,-4.92,1.0,0.0,6056.45,134.35000000000002,-134.35000000000002,1.0,0.0,4.22041,0.09,-0.09,1.0,0.0,1.52,0.07,-0.07,1.0,0.0
381,185405474.01,9.87278,0.006,-0.006,1.0,0.0,301.717674,6.48,0.044,-0.044,1.0,0.0,7.159,0.04,-0.04,1.0,0.0,2458684.13635,0.00222,-0.00222,1.0,0.0,2.751,0.095,-0.095,1.0,0.0,1690.0,514.568,-514.568,1.0,0.0,18.4825,5.76818,-5.76818,1.0,0.0,387.708,3.995,-3.995,1.0,0.0,6897.0,143.0,-143.0,1.0,0.0,3.89,0.09,-0.09,1.0,0.0,2.29,0.09,-0.09,1.0,0.0
382,186000935.01,9.76577,0.006,-0.006,1.0,0.0,303.072972,-40.227,0.036,-0.036,1.0,0.0,-75.628,0.041,-0.041,1.0,0.0,2460552.790682,0.001595,-0.001595,1.0,0.0,4.059,0.474,-0.474,1.0,0.0,1949.0,400.077,-400.077,1.0,0.0,6.0401,0.617764,-0.617764,1.0,0.0,156.338,0.539,-0.539,1.0,0.0,5992.0,131.1,-131.1,1.0,0.0,4.34,0.08,-0.08,1.0,0.0,1.18,0.05,-0.05,1.0,0.0
383,232679662.01,10.3018,0.007,-0.007,1.0,0.0,282.474539,0.76,0.181,-0.181,1.0,0.0,-8.188,0.171,-0.171,1.0,0.0,2460650.647652,0.000438,-0.000438,1.0,0.0,6.699,0.085,-0.085,1.0,0.0,21571.0,339.716,-339.716,1.0,0.0,9.8672,0.820598,-0.820598,1.0,0.0,875.061,74.2245,-74.2245,1.0,0.0,6056.45,134.35000000000002,-134.35000000000002,1.0,0.0,4.22041,0.09,-0.09,1.0,0.0,1.52,0.07,-0.07,1.0,0.0
